Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Bespoke 4-Door Mid Drawer Panel,pale turquoise,Default,RA-F36DMMCM/AA,Not Available,Not Available,Not Applicable,None,None,4.3,9,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-mid-drawer-panel-34-cu-ft-blue-ra-f36dmmcm-aa/
Bespoke 4-Door Mid Drawer Panel,gray,Default,RA-F36DMM31/AA,Not Available,Not Available,Not Applicable,None,None,4.3,9,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-mid-drawer-panel-34-cu-ft-gray-ra-f36dmm31-aa/
Bespoke 4-Door Mid Drawer Panel,cloud navy,Default,RA-F36DMMQN/AA,Not Available,Not Available,Not Applicable,None,None,4.3,9,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-mid-drawer-panel-34-cu-ft-cloud-navy-ra-f36dmmqn-aa/
Bespoke 4-Door Mid Drawer Panel,mocha gray,Default,RA-F36DMM33/AA,Not Available,Not Available,Not Applicable,None,None,4.3,9,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-mid-drawer-panel-34-cu-ft-mocha-gray-ra-f36dmm33-aa/
Bespoke 4-Door Mid Drawer Panel,green,Default,RA-F36DMMQG/AA,Not Available,Not Available,Not Applicable,None,None,4.3,9,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-mid-drawer-panel-34-cu-ft-green-ra-f36dmmqg-aa/
Bespoke 4-Door Mid Drawer Panel,phantom black,Default,RA-F36DMMMT/AA,Not Available,Not Available,Not Applicable,None,None,4.3,9,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-mid-drawer-panel-34-cu-ft-black-ra-f36dmmmt-aa/
Bespoke 3-Door Upper Panel,white,Default,RA-F18DU312/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-white-ra-f18du312-aa/
Bespoke 3-Door Upper Panel,pink,Default,RA-F18DU3P0/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-pink-ra-f18du3p0-aa/
Bespoke 3-Door Upper Panel,orange,Default,RA-F18DU3CH/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-orange-ra-f18du3ch-aa/
Bespoke 3-Door Upper Panel,silver(frame)/yellow/yellow,Default,RA-F18DU3C0/AA,Not Available,Not Available,Not Applicable,None,None,3.4,12,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-3-door-upper-panel-18-cu-ft-yellow-ra-f18du3c0-aa/
