Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
"Bespoke AI Front Load Washer

AI Fabric Sensing | AI OptiWash+

 

6.1 cu.ft.",gray,6.1 cu.ft.,WF90F53ADSA5,"$1,449.99",Not Available,From $60.42/mo for 24 mos,None,None,4.8,50,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wf90f27-front-loading-ai-home-ai-optiwash-plus-ultra-capacity-6-1-cu-ft-gray-wf90f53adsa5/
5.3 cu. ft. 3500 Series Smart Top Load Washer with ActiveWa...,black,5.3 cu.ft,WA46CG3505AVA4,$899.99,Not Available,From $29.03/mo for 36 mos,None,None,4.3,245,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wa3505c-top-load-large-capacity-5-3-cu-ft-black-wa46cg3505ava4/
5.3 cu. ft. 3500 Series Smart Top Load Washer with ActiveWa...,white,5.3 cu.ft,WA46CG3505AWA4,Not Available,Not Available,Not Applicable,None,None,4.3,245,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wa3500c-top-load-large-capacity-5-3-cu-ft-white-wa46cg3505awa4/
6.1 cu. ft. 7155 Series Top Load Washer with Pet Care Solut...,navy,6.1 cu.ft.,WA53CG7155ADA4,"$1,099.99",Not Available,From $35.49/mo for 36 mos,None,None,4.8,21,In Stock,https://www.samsung.com/ca/laundry/washing-machines/wa7155c-top-load-large-capacity-6-1-cu-ft-navy-wa53cg7155ada4/
"Pedestal for 27"" Front Load Washer & Dryer",white,Default,WE402NW/A3,$399.99,Not Available,From $18.46/mo for 24 mos,None,None,4.5,215,In Stock,https://www.samsung.com/ca/laundry/washing-machines/we402-pedestal-for-27-front-load-washer-dryer-we402nw-a3/
"Pedestal for 27"" Front Load Washer & Dryer",black,Default,WE402NV/A3,$399.99,Not Available,From $18.46/mo for 24 mos,None,None,4.5,215,In Stock,https://www.samsung.com/ca/laundry/washing-machines/we402-pedestal-for-27-front-load-washer-dryer-we402nv-a3/
"Pedestal for 27"" Front Load Washer & Dryer",natural gray,Default,WE402NP/A3,$399.99,Not Available,From $18.46/mo for 24 mos,None,None,4.5,215,In Stock,https://www.samsung.com/ca/laundry/washing-machines/we402-pedestal-for-27-front-load-washer-dryer-we402np-a3/
7.4 cu. ft. 3500 Series Smart Electric Dryer with SmartThin...,white,7.4 cu.ft.,DVE47CG3500WAC,Not Available,Not Available,Not Applicable,None,None,4.4,30,In Stock,https://www.samsung.com/ca/laundry/dryers/dv3500c-dryers-sensor-dry-7-4-cu-ft-white-dve47cg3500wac/
7.4 cu. ft. 3500 Series Smart Electric Dryer with SmartThin...,black,7.4 cu.ft.,DVE47CG3500VAC,$899.99,Not Available,From $29.03/mo for 36 mos,None,None,4.4,30,In Stock,https://www.samsung.com/ca/laundry/dryers/dv3500c-dryers-sensor-dry-7-4-cu-ft-black-dve47cg3500vac/
7.5 cu. ft. Gas Dryer with Multi-Steam technology and Steam...,gray,Default,DVG45B6305P/AC,"$1,149.99",Not Available,From $37.10/mo for 36 mos,None,None,4.6,505,In Stock,https://www.samsung.com/ca/laundry/dryers/dv6300b-dryer-multi-steam-steam-sanitize-flexible-installation-7-5-cu-ft-gray-dvg45b6305p-ac/
"Pedestal for 27"" Front Load Washer and Dryer",black,"27""",WE502NV/US,$439.99,Not Available,From $20.30/mo for 24 mos,None,None,3.8,14,In Stock,https://www.samsung.com/ca/laundry/washing-machines/pedestal-for-27-front-load-washer-and-dryer-24kg-black-we502nv-us/
"Pedestal for 27"" Front Load Washer and Dryer",silver,"27""",WE502NT/US,$439.99,Not Available,From $20.30/mo for 24 mos,None,None,3.8,14,In Stock,https://www.samsung.com/ca/laundry/washing-machines/pedestal-for-27-front-load-washer-and-dryer-24kg-silver-we502nt-us/
7.4 Cu.Ft. Electric Dryer with Steam,black,7.4 cu.ft.,DVE50A5405V/AC,$949.99,Not Available,From $30.65/mo for 36 mos,None,None,4.4,12,In Stock,https://www.samsung.com/ca/laundry/dryers/dv7000r-smartthings-7-4-cu-ft-black-dve50a5405v-ac/
7.6 Cu.Ft. F90 Series Bespoke AI Electric Dryer with AI Opt...,dark gray,7.6 cu.ft,DV90F53AESAC,"$1,449.99",Not Available,From $60.42/mo for 24 mos,None,None,4.9,41,In Stock,https://www.samsung.com/ca/laundry/dryers/dv90f27-dryer-ai-home-ai-optidry-plus-bedding-7-6-cu-ft-dark-gray-dv90f53aesac/
WF6100R Front-loading Combo with Large Capacity,Default,Default,SAMS-9930982,"$1,999.98",Not Available,Not Applicable,None,None,3.9,468,In Stock,https://www.samsung.com/ca/laundry/washing-machines/front-load-5-2-cu-ft-electric-7-5-cu-ft-inox-f-6100pnew/
