Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
"24"" Essential Monitor S3 S30GD FHD 100Hz",black,"22""",LS22D300GANXZA,$129.99,Not Available,Not Applicable,Back to School,None,4.5,20,In Stock,https://www.samsung.com/ca/monitors/full-hd-1080p/essential-monitor-s3-s30gd-22-inch-fhd-ips-100hz-ls22d300ganxza/
"27"" Smart Monitor M5 M50F FHD",essential white,"32""",LS32FM501ENXZA,$329.99,Not Available,From $15.23/mo for 24 mos,None,None,4.8,6,In Stock,https://www.samsung.com/ca/monitors/smart/smart-monitor-m5-32-inch-smart-tv-apps-ls32fm501enxza/
"27"" Smart Monitor M5 M50F FHD",essential white,27”,LS32FM501ENXZA,$329.99,Not Available,From $15.23/mo for 24 mos,None,None,4.8,6,Out of Stock / Unavailable,https://www.samsung.com/ca/monitors/smart/smart-monitor-m5-32-inch-smart-tv-apps-ls32fm501enxza/
"27"" Smart Monitor M5 M50F FHD",black,"32""",LS32FM500ENXZA,$249.99,$329.99,From $21.98/mo for 12 mos,None,None,4.8,6,In Stock,https://www.samsung.com/ca/monitors/smart/smart-monitor-m5-32-inch-smart-tv-apps-ls32fm500enxza/
"27"" Smart Monitor M5 M50F FHD",black,27”,LS27FM500ENXZA,$279.99,Not Available,From $24.61/mo for 12 mos,None,None,4.8,6,In Stock,https://www.samsung.com/ca/monitors/smart/smart-monitor-m5-27-inch-smart-tv-apps-ls27fm500enxza/
"34"" ViewFinity S6 S65A UWQHD 100Hz Monitor",black,"34""",LS34A650UBNXGO,$399.99,$549.99,From $18.45/mo for 24 mos,None,Save $150.00,4.6,52,In Stock,https://www.samsung.com/ca/monitors/high-resolution/s65ua-34-inch-ultra-wqhd-ls34a650ubnxgo/
"57"" Odyssey Neo G9 240Hz Dual UHD Gaming Monitor G95NC",white,"57""",LS57CG952NNXZA,"$3,299.99",Not Available,From $91.67/mo for 36 mos,None,None,4.7,659,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-neo-g9-g95nc-57-inch-240hz-curved-dual-uhd-ls57cg952nnxza/
"37"" ViewFinity S7 S70D UHD Monitor",black,"37""",LS37D702EANXZA,$649.99,Not Available,From $20.97/mo for 36 mos,None,None,4.7,178,In Stock,https://www.samsung.com/ca/monitors/high-resolution/viewfinity-s7-37-inch-ls37d702eanxza/
"40"" Odyssey G7 G75F WUHD 180Hz Gaming Monitor",black,"40""",LS40FG756ENXZA,"$1,299.99",Not Available,From $41.94/mo for 36 mos,None,None,4.9,49,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g7-g75f-40-inch-180hz-wuhd-ls40fg756enxza/
55” Odyssey Ark Gaming Monitor G970,black,"55""",LS55CG970NNXGO,"$2,599.99","$3,999.99",From $83.87/mo for 36 mos,None,"Save $1,400.00",4.7,337,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-ark-2nd-gen-g97nc-55-inch-165hz-1ms-curved-uhd-4k-ls55cg970nnxgo/
"49"" Odyssey OLED G9 G91SD DQHD",silver,"49""",LS49DG912SNXZA,"$1,549.99",Not Available,From $64.58/mo for 24 mos,None,None,4.6,89,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g9-g91sd-49-inch-144hz-curved-dual-qhd-ls49dg912snxza/
27 Inch Odyssey G8 G80HF 5K 180Hz / QHD 360Hz Gaming Monito...,black,"27""",LS27HG802EFXZA,"$1,349.99",Not Available,From $56.25/mo for 24 mos,None,None,4.5,23,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g8-g80hf-27-inch-dual-mode-5k-180hz-qhd-360hz-ls27hg802efxza/
32 Inch Odyssey G8 G80HS 6K 165Hz / 3K 330Hz Gaming Monitor...,black,"32""",LS32HG802ESXZA,"$2,149.99",Not Available,From $59.72/mo for 36 mos,None,None,4.9,25,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g8-g80hs-32-inch-dual-mode-6k-165hz-3k-330hz-ls32hg802esxza/
"43"" Smart Monitor M7 M70F 4K Samsung Vision AI",black,"43""",LS43FM702UNXZA,$649.99,Not Available,From $27.08/mo for 24 mos,None,None,4.7,910,In Stock,https://www.samsung.com/ca/monitors/smart/smart-monitor-m7-43-inch-smart-tv-apps-4k-uhd-ls43fm702unxza/
"43"" Smart Monitor M7 M70F 4K Samsung Vision AI",black,"32""",LS32FM702UNXZA,$449.99,$549.99,From $20.76/mo for 24 mos,None,None,4.7,910,In Stock,https://www.samsung.com/ca/monitors/smart/smart-monitor-m7-32-inch-smart-tv-apps-4k-uhd-ls32fm702unxza/
"49"" Odyssey G9 Gaming Monitor with 240Hz Refresh Rate",black,"49""",LS49CG952ENXZA,$999.99,"$1,699.99",From $41.67/mo for 24 mos,None,Save $700.00,4.7,9,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g9-g95c-49-inch-240hz-curved-dual-qhd-ls49cg952enxza/
"49"" Odyssey OLED G9 G93SD DQHD 240Hz Gaming Monitor",silver,"49""",LS49DG936SNXGO,"$1,399.99","$2,099.99",From $38.89/mo for 36 mos,None,Save $700.00,4.3,35,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g9-g93sd-49-inch-ls49dg936snxgo/
"27"" Odyssey G7 G70F 4K 180Hz / FHD 360Hz Gaming Monitor",black,"27""",LS27FG706ENXZA,$799.99,Not Available,From $25.81/mo for 36 mos,None,None,4.8,21,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g7-g70f-27-inch-dual-mode-4k-180hz-fhd-360hz-ls27fg706enxza/
"32"" Smart Monitor M9 M90SF 4K OLED Samsung Vision AI",silver,"32""",LS32FM900SNXZA,"$1,299.99","$1,999.99",From $54.17/mo for 24 mos,None,Save $700.00,3.5,4,In Stock,https://www.samsung.com/ca/monitors/smart/smart-monitor-m9-32-inch-smart-tv-apps-4k-oled-ls32fm900snxza/
"37"" ViewFinity S8 S80UD UHD Monitor",black,"37""",LS37D802UANXZA,$749.99,Not Available,From $31.25/mo for 24 mos,None,None,4.9,69,In Stock,https://www.samsung.com/ca/monitors/high-resolution/viewfinity-s8-s80ud-37-inch-uhd-usbc-easysetupstand-ls37d802uanxza/
"34"" Odyssey OLED G8 G85SD Ultra WQHD 175Hz Gaming Monitor",silver,34”,LS34DG850SNXZA,$899.99,"$1,399.99",From $37.50/mo for 24 mos,None,Save $500.00,4.7,223,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g8-g85sd-34-inch-oled-ultra-wqhd-ls34dg850snxza/
32 Inch Odyssey OLED G7 G73SH 4K 165Hz / FHD 330Hz Gaming M...,black,"32""",LS32HG730SNXZA,"$1,499.99",Not Available,From $62.50/mo for 24 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-oled-g7-g73sh-32-inch-dual-mode-4k-165hz-fhd-330hz-ls32hg730snxza/
"32"" Odyssey G7 G70D UHD 144Hz Gaming Monitor",black,"32""",LS32DG702ENXZA,$649.99,$859.99,From $27.08/mo for 24 mos,None,Save $210.00,4.6,62,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g7-g70d-32-inch-144hz-1ms-4k-uhd-ls32dg702enxza/
"32"" Smart Monitor M8 M80F 4K Samsung Vision Al",white,"32""",LS32FM803UNXZA,Not Available,Not Available,Not Applicable,None,None,4.6,174,In Stock,https://www.samsung.com/ca/monitors/smart/smart-monitor-m8-32-inch-smart-tv-apps-4k-uhd-ls32fm803unxza/
"32"" Smart Monitor M8 M80F 4K Samsung Vision Al",white,"32""",LS32FM801UNXZA,$899.99,Not Available,From $37.50/mo for 24 mos,None,None,4.6,174,In Stock,https://www.samsung.com/ca/monitors/smart/smart-monitor-m8-32-inch-smart-tv-apps-4k-uhd-ls32fm801unxza/
"34"" ViewFinity S5 S55GH Ultra WQHD 120Hz Monitor (2026)",black,"34""",LS34H550GANXZA,$399.99,Not Available,From $18.46/mo for 24 mos,None,None,4.9,14,In Stock,https://www.samsung.com/ca/monitors/high-resolution/viewfinity-s5-s55gh-34-inch-ultra-wqhd-120hz-ls34h550ganxza/
24/27 Inch Odyssey G3 G30H FHD 200Hz Gaming Monitor,black,"27""",LS27HG300ENXZA,$249.99,Not Available,From $21.98/mo for 12 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g3-g30h-27-inch-200hz-fhd-ls27hg300enxza/
24/27 Inch Odyssey G3 G30H FHD 200Hz Gaming Monitor,black,"24""",LS24HG300ENXZA,$209.99,Not Available,From $18.46/mo for 12 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/monitors/gaming/odyssey-g3-g30h-24-inch-200hz-fhd-ls24hg300enxza/
