Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Ultra Slim Soundbar HW-S801D 3.1.2 ch Sub Woofer,white,Default,HW-S801D/ZC,$799.99,Not Available,From $25.81/mo for 36 mos,None,None,4.6,461,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/s801d-white-hw-s801d-zc/
S-series Soundbar HW-S60D 5.0 ch All-in-one soundbar,black,Default,HW-S60D/ZC,$249.99,$349.99,From $21.97/mo for 12 mos,None,Save $100.00,4.6,469,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/s60d-black-hw-s60d-zc/
S-series Soundbar HW-S61D 5.0 ch All-in-one soundbar,white,Default,HW-S61D/ZC,$249.99,$349.99,From $21.97/mo for 12 mos,None,Save $100.00,4.6,454,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/s61d-white-hw-s61d-zc/
Q-series Soundbar HW-QS700F 3.1.2 ch Subwoofer (2025),black,Default,HW-QS700F/ZC,$899.99,Not Available,From $29.03/mo for 36 mos,None,None,4.9,147,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/qs700f-black-hw-qs700f-zc/
Q-series Soundbar HW-Q900F 7.1.2 Ch Subwoofer (2025),black,Default,HW-Q900F/ZC,Not Available,Not Available,Not Applicable,None,None,5,2,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/q900f-black-hw-q900f-zc/
Sound Tower MX-ST90B,phantom black,Default,MX-ST90B/ZC,Not Available,Not Available,Not Applicable,None,None,4.7,384,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/mx-st90-sound-tower-high-power-phantom-black-mx-st90b-zc/
Sound Tower MX-ST50B,black,Default,MX-ST50B/ZC,Not Available,Not Available,Not Applicable,None,None,4.8,255,In Stock,https://www.samsung.com/ca/audio-devices/sound-tower/st50b-black-mx-st50b-zc/
Sound Tower MX-ST40B,black,Default,MX-ST40B/ZC,Not Available,Not Available,Not Applicable,None,None,4.7,279,In Stock,https://www.samsung.com/ca/audio-devices/sound-tower/st40b-black-mx-st40b-zc/
Q-series Soundbar HW-Q990D 11.1.4 ch Sub Woofer & Rear Spea...,black,Default,HW-Q990D/ZC,Not Available,Not Available,Not Applicable,None,None,4.6,865,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/q990d-black-hw-q990d-zc/
Q-series Soundbar HW-Q600C 3.1.2 Inch with Sub woofer,black,Default,HW-Q600C/ZC,Not Available,Not Available,Not Applicable,None,None,4.6,335,In Stock,https://www.samsung.com/ca/audio-devices/soundbar/q600c-q-series-soundbar-black-hw-q600c-zc/
