Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Galaxy Buds4 Pro,white,Default,SM-R640NZWAXAC,$329.99,Not Available,From $13.75/mo for 24 mos,None,None,4.7,4758,In Stock,https://www.samsung.com/ca/audio-sound/galaxy-buds/galaxy-buds4-pro-white-sm-r640nzwaxac/
Galaxy Buds4 Pro,black,Default,SM-R640NZKAXAC,$329.99,Not Available,From $13.75/mo for 24 mos,None,None,4.7,4758,In Stock,https://www.samsung.com/ca/audio-sound/galaxy-buds/galaxy-buds4-pro-black-sm-r640nzkaxac/
Galaxy Buds4,black,Default,SM-R540NZKAXAC,$249.99,Not Available,From $20.83/mo for 12 mos,None,None,4.7,2359,In Stock,https://www.samsung.com/ca/audio-sound/galaxy-buds/galaxy-buds4-black-sm-r540nzkaxac/
Galaxy Buds4,white,Default,SM-R540NZWAXAC,$249.99,Not Available,From $20.83/mo for 12 mos,None,None,4.7,2359,In Stock,https://www.samsung.com/ca/audio-sound/galaxy-buds/galaxy-buds4-white-sm-r540nzwaxac/
