Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Galaxy Watch Ultra2,titanium gray,Default,SM-L715FZKAXAC,$949.99,Not Available,From $39.58/mo for 24 mos,New,None,4.8,3449,In Stock,https://www.samsung.com/ca/watches/galaxy-watch/galaxy-watch-ultra2-titanium-gray-lte-sm-l715fzkaxac/
Galaxy Watch Ultra2,titanium silver,Default,SM-L715FZSAXAC,$949.99,Not Available,From $39.58/mo for 24 mos,New,None,4.8,3449,In Stock,https://www.samsung.com/ca/watches/galaxy-watch/galaxy-watch-ultra2-titanium-silver-lte-sm-l715fzsaxac/
"Galaxy Watch9 (Bluetooth, 40 mm)",graphite,Default,SM-L340NZKAXAC,$519.99,Not Available,From $21.67/mo for 24 mos,New,None,4.6,1973,In Stock,https://www.samsung.com/ca/watches/galaxy-watch/galaxy-watch9-40mm-graphite-bluetooth-sm-l340nzkaxac/
"Galaxy Watch9 (Bluetooth, 40 mm)",cream,Default,SM-L340NZEAXAC,$519.99,Not Available,From $21.67/mo for 24 mos,New,None,4.6,1973,In Stock,https://www.samsung.com/ca/watches/galaxy-watch/galaxy-watch9-40mm-cream-bluetooth-sm-l340nzeaxac/
