Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Galaxy Tab A11+ 5G,awesome gray,128 GB,SM-X238UZAAXAC,$509.99,Not Available,From $21.25/mo for 24 mos,None,None,4.8,499,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-a/galaxy-tab-a11-plus-gray-128gb-sm-x238uzaaxac/
Galaxy Tab S10 FE 5G,gray,128 GB,SM-X528UZAAXAC,$929.99,Not Available,From $38.75/mo for 24 mos,None,None,4.8,1339,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-gray-128gb-sm-x528uzaaxac/
"Galaxy Tab S10 FE (10.9"", Wi-Fi)",silver,256 GB,SM-X520NZSEXAC,$979.99,Not Available,From $40.83/mo for 24 mos,None,None,4.4,40,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-silver-256gb-sm-x520nzsexac/
"Galaxy Tab S10 FE (10.9"", Wi-Fi)",silver,128 GB,SM-X520NZSAXAC,$779.99,Not Available,From $32.50/mo for 24 mos,None,None,4.4,40,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-silver-128gb-sm-x520nzsaxac/
"Galaxy Tab S10 FE (10.9"", Wi-Fi)",blue,256 GB,SM-X520NLBEXAC,$979.99,Not Available,From $40.83/mo for 24 mos,None,None,4.4,40,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-blue-256gb-sm-x520nlbexac/
"Galaxy Tab S10 FE (10.9"", Wi-Fi)",blue,128 GB,SM-X520NLBAXAC,$779.99,Not Available,From $32.50/mo for 24 mos,None,None,4.4,40,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-blue-128gb-sm-x520nlbaxac/
"Galaxy Tab S10 FE (10.9"", Wi-Fi)",gray,256 GB,SM-X520NZAEXAC,$979.99,Not Available,From $40.83/mo for 24 mos,None,None,4.4,40,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-gray-256gb-sm-x520nzaexac/
"Galaxy Tab S10 FE (10.9"", Wi-Fi)",gray,128 GB,SM-X520NZAAXAC,$779.99,Not Available,From $32.50/mo for 24 mos,None,None,4.4,40,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-s/galaxy-tab-s10-fe-gray-128gb-sm-x520nzaaxac/
Galaxy Tab Active5 5G Enterprise Edition,green,128 GB,SM-X308UZGAN45,$939.99,Not Available,From $39.17/mo for 24 mos,None,None,3,3,In Stock,https://www.samsung.com/ca/tablets/others/tablet-green-128gb-sm-x308uzgan45/
Galaxy Tab A11+,gray,256 GB,SM-X230NZAEXAC,$389.99,$549.99,From $16.25/mo for 24 mos,None,Save $160.00,4.8,535,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-a/galaxy-tab-a11-plus-gray-256gb-sm-x230nzaexac/
Galaxy Tab A11+,gray,128 GB,SM-X230NZAAXAC,$269.99,$429.99,From $22.50/mo for 12 mos,None,Save $160.00,4.8,535,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-a/galaxy-tab-a11-plus-gray-128gb-sm-x230nzaaxac/
Galaxy Tab A11+,silver,256 GB,SM-X230NZSEXAC,$389.99,$549.99,From $16.25/mo for 24 mos,None,Save $160.00,4.8,535,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-a/galaxy-tab-a11-plus-silver-256gb-sm-x230nzsexac/
Galaxy Tab A11+,silver,128 GB,SM-X230NZSAXAC,$269.99,$429.99,From $22.50/mo for 12 mos,None,Save $160.00,4.8,535,In Stock,https://www.samsung.com/ca/tablets/galaxy-tab-a/galaxy-tab-a11-plus-silver-128gb-sm-x230nzsaxac/
Galaxy Tab Active5 Pro Enterprise Edition,green,128 GB,SM-X358UZGAN45,"$1,264.99",Not Available,From $52.71/mo for 24 mos,None,None,Not Rated,0,In Stock,https://www.samsung.com/ca/tablets/others/galaxy-tab-active5-pro-enterprise-edition-green-128gb-sm-x358uzgan45/
